The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
The medication reduced total cholesterol from about 220 to about 180.  blood pressure appeared to slightly decrease from 125/70 to 115/65. The ration between high density cholesterol (good cholesterol) to low density cholesterol improved significantly.	Initially has hot flashes  red flushing of skin.  However it was discovered that taking the Niaspan before going to bed, with an 81mg enteric coated aspirin entirely eliminated the hot flashes.  There have been some deposits of fatty nodules just below the skin in several locations.  There has not been a causative link between the Niaspan pointed out to me. However since the Niaspan  reduces the circulating amount of a fatty chemical, the appearance of fatty deposits is suspicious.	"Two pills, 1000mg per pill, taken in the evening, with an 81mg enteric aspirin.

It is suggested that no high fat-foods be eaten several hours before taking the Niaspan, since there appears to be some relationship between high fat meals and hot flashes."
Stomach had been aching continually for several months, with constant belching andd a feeling of pressure in the upper throat.  Heartburn was not a significant complaint.  I lost about 5 lbs due to a loss of appetite.  I first started on a dose of 20 mg/day, and decided to increase to 40mg/day when the symptoms were not fully alleviated.  That dosage helped the symptoms, but I still have to be careful when, what and how much I eat or the problem will start up.	None really.  however, I am concerned about the correlation to osteoporosis, since proton pumps are probably involved in bone remodeling.  Now I take only 20mg daily as needed.	Take 20mg first thing in the morning about half an hour before breakfast, or before I have a meal I know will cause problems - Italian food, garlic, spicy, etc.
After the third day, I could tell the pain was subsiding.	Diarrhea and stomach pain	The first dayI started taking the medication 500mg 12 hrs apart. Then my stomach was hurting and I had diarrhea. I decreased the dosage (on my own, which I would not advise others to do) because I have a history of pseudo-membranous colitis, and I need to be cautious of antibiotics. However, I needed the med for the kidney infection. On days 2-5 I took 250mg 3 times a day (eight hrs apart). This reduction in dosage relieved the stomach pain and the diarrhea. After the third day of antibiotics, I noticed a decrease in back pain so I knew the medication was working.
To get my blood pressure under control, it was getting very high.  Blood pressure is in the normal range when taken. Blood pressure is now managed.	I experienced some nausea and fatigue when first taking it.	I take Hyzaar once a day in the morning to keep my blood pressure in the normal range.
reduction in depression and anxiety with increased sense of well being, ability to focus on everyday activities, reduction in negative thoughts and increase in social activity.	initially experienced digestive discomfort, diarrhea, agitation and insomnia, dry mouth, chills and sweats, and headache; all mild and disappeared after about 2 weeks.	I took 10 mg. of lexapro once per day. I also saw a counselor.
gave son the confidence to go to sleep as he had been staying awake - worried to sleep for fear of wetting the bed, proved to son not his fault as he blamed himself, helped with washing of bedding every day - stress. Gave son the confidence to sleep at other venues loke friends houses, he would never have done that	son put on weight, the dr said this was not linked but when son stopped the medication he lost weight	Nasil spray one spray and inhail before bed time- combined with reduced drinks especially caffine before bed time. This was nightly and each canister lasted about two months
you take the pills for 90 days, daily.  You only get your period 4 times/year.  Some people have breakthough bleeding but I didn't have any bleeding. I didn't take the placebos, I started the next 90 day pack of pills and skipped my period.	I really didn't have any side effects other than no getting my period.	1 pill per day for 90 days then 7 days of placebo
reduction in cholesterol level and gave me more energy as well as making me feel better. it is a medicaton that combines zocor and zetia. zocor works on the production of cholesterolin the liver and zetioa works on absorption of cholesterol in the digestive system	muscle fatigue which causes my leg muscles to get tired in about 45 minutes on a elliptical stairmaster or in a mountain hike where the elevation change is greater than 500 feet. sometimes my calf muscles cramp up even without doing any strenuous exercise.	take one pill/day in morning and maintain a low fat diet, usually avoiding red meat and other high fat foods such as nuts. with out the low fat diet it is not as effective a medciation as it it is when combined with a low fat diet. exercise is also a strong combination with vytorin.
Virtually stopped joint and then digestive flares entirely.	development of an imbalance of natural-to-the-body fungi of the scalp, chest and feet that required antifungal creme as treatment	Humira taken as a self-injected shot much like an epipen. Very painful at time of shot. Have moved just last week from every two weeks to every three.
"it subsided inflammation in the intestines.  therefore resulting in

less pain and discomfort.  hopefully less diarrhea."	liver damage.  everyone I spoke to said this is a very dirty drug.  this is a cancer type of treatment,  (chemo)  it is old and very hard on the liver.  can result in very serious liver damage very quickly.	weekly 1 mg needle
I have had problems falling asleep for many years. I had tried various other medicines, both over the counter and prescription, and nothing seemed to work - some didn't work at all, some helped me initially fall asleep but woke me up in the middle of the night, and others made me tired and feeling as if I were drugged the next morning. Then one day, my dentist prescribed one Ativan to take before bedtime the night before an extraction, and I actually fell asleep standing up! This is the first sleep medication that helps me initially fall asleep, sleep through the night, and doesn't make me feel tired the next day. Plus, it has the added benefit of helping to reduce my worry, anxiety, and stress that had always kept me from falling asleep before.	One of the warnings on the bottle is "May cause drowsiness". Well, that's why I am taking it! If you don't want to feel drowsy, then Ativan is probably not for you. Another drawback is that if it is used too often, your body will get used to it and you may have to bump up your dose. When I first began taking Ativan, I only needed half a mg. to fall asleep, so I would cut a tablet in half. I only use it 3 or 4 times a month, but even at that dosage, after having used it for several years, I now find I have to take a whole tablet in order for the Ativan to help me sleep.	After having this prescribed to me by my dentist, I knew it was very effective. I'd tried various other medications prescribed by my doctor to help me sleep, so I told him I'd like to try Ativans as they had worked so well as a relaxant before a dental extraction. We worked together to come up with a dosage, and he then prescribed the 1mg. As stated before, the one mg. was more than enough at first, so I would cut the tablets in half and for the first couple years this worked just fine. For the past couple years though, I've had to use the 1mg. before bedtime... and will probably have to talk with my doctor soon about going to a stronger dosage as I am noticing lately that it is not working as well as it once did.
Greatly reduced severe migraines that were occurring almost daily.  This drug was added as a preventative medication when migraines became so dibilitating that I could not function in everyday life, i.e., go to work, take care of self and family, etc.  Migraines were reduced after approximately 6-8 weeks on the medication to about 1 per month and then continually reduced to 1 every 3 to 6 months as I stayed on the medication.  I also use the medication to manage my mood disorder (bi-polar disorder) and was able to not have to take a mood stabalizer, because this drug also manages to keep me from getting "manic", so it is an extra "bonus" on top of the migraine management!!	The only side effect I noticed was some weight loss in the beginning.  My doctor was very careful to start me out on 50 MG and move me up VERY slowly to the 200 MG 2x per day, which I understand is a very high dosage and took all of 4 years to get to that dosage.  I was monitored every 30 days to ensure that I was not losing too much weight, having any type of eye problems, or numbness in my hands or feet--the eye problems, and numbness I never experienced; but was always told that if I did experience even a hint of these things, that I would have to stop the medication immediately--so my doctor does constantly ask me about those things.  I have also read that Topamax has been used to treat alcoholics, and have noticed that since taking it, I have no desire to drink alcohol at all--but I am not an alcoholic--just a unique observation.  It really just seems like a great drug!!	I am still taking it to manage both  my migraines and my mood disorder--200 MG 2x per day.  I take 2 in the AM and 2 in the PM.  It is prescribed by my Neurologist and managed by him mostly; and my psychatrist also works with him, because if I ever go off of the drug, I would be required to go onto a mood stabalizer due to the bi-polar disorder.  I would be very unhappy to have to go back onto something like Depakote, because that made me very slow and sluggish and Topamax does not have that side effect.
Within a week, I felt as if dark cloud of loneliness and unbearable sadness had drifted away.	I had some GI issues, some bloating and intestinal gas, but this went away after a few weeks.	Initially I was a participant in a blind study, which lasted about six weeks.  I suspected that I was not in the control group because of my dramatic results.  Following the study, we were each given a consultation with the physician who was overseeing the test.  He was the head of the Psychopharmacology Department at the University of Pennsylvania.  He explained to me how the drug worked and suggested that I stay on it for a while.  I remember he remarked how I walked the first few days of the test, and how different my demeanor became after the first week.  I stayed on the drug for close to two years, then weaned myself off.
I have chronic allergies because I am allergic to dust rather than a seasonal allergen, like ragweed. I have tried many products, but typically they are so drying that I am forced to discontinue use. This product is effective at reducing the production of mucus and eye irritation from a sever allergy to dust. I haven;t used this	Generally, I find allergy medications, such as Claritin and Zyrtec to be too drying to be useful. I live in a dry city (Los Angeles) and I am prone to nose bleeds, dry eyes and dry skin. There is still some drying associated with this drug if I take it daily. However, if I take it occasionally, it is fine. I also can tolerate prolonged usage of this medication better than  I can other allergy medications.	The prescription says to take 1 tablet every day as needed for allergies. My allergist suggested I use this daily, as I have chronically dark circles under my eyes and a drippy nose, even though I have a home with zero carpet and have sealed my bed and pillows in allergen barriers. However, I do not take this daily because it is drying and costly to do so. I use this occasionally when I sleep at someone';s house or need to dust or sweep.
able to function at job and sleep with neck pain. Addressed tension and inflammation issues that allowed me to be able to use my arms freely and to also be able to lay on my neck at night to be able to sleep.	sleepy	used to eliviate neck pain to be able to function at work
After menopause, I experienced painful intercourse and some bleeding caused by vaginal dryness. I tried over-the-counter lubricants including suppositories but found them to be inconsistent and they also masked sensitivity in the vaginity area.	Vagifem has little side effects. I occasionally notice some discharge. I also feel bloated for a day or so after inserting.	The small tablet is inserted vaginally twice a week. It's recommended that you do so at the same time of day. Twice a week is somewhat difficult to keep track of. Does that mean every 3 days or every 4 days? It involves marking treatment down on a calendar to maintain a regular schedule.
Decreased headache pain from 10/10 to 0/10 within a few hours. Took at least 30 minutes to feel pain start to decrease, then causes fatigue. I like the fact that it disintegrates sublingually, because vomiting is often associated with my headaches and I am never sure how much medication is retained afterward if I have taken a tablet.	It always puts me to sleep for an hour or two. After waking, I sometimes feel a little shakey, but the pain is gone. I wouldn't take this med if I were out of the house due to the grogginess.	Treatment for migraine when otc's, or prescription level ibuprophen (800 mg) are not effective. Used for moderate migraine if it lasts a few days, or when pain reaches 8 to 10/10.
It would ease the throbbing feeling associated with a migraine.	Low blood pressure.	You could feel a marked difference in your blood pressure, that was the only negative side effect. Other than that, it helped calm the pulsating sensation you would get with an intense migraine. Helping you to relax and feel better.
Cleared up nasal passages pretty well.  Was about as effective as pseudophedrine, but longer lasting.	Acne	I was prescribed generic Flonase about 6 months ago for nasal congestion due to allergies. I've always had some sporadic adult acne flair ups from time to time, but it got much worse after I started using this nasal spray. I even started getting some pimples on my chest which I never had before.  I didn't know the Flonase was the cause until recently when I was looking up information on acne treatments online. I came across something that said steroids could cause acne, so I looked up the side effects of Flonase and sure enough acne was listed.  I stopped using Flonase a week and a half ago and the acne is completely gone!
Fewer hot flashes & irritability.	Considerably sore breasts first 4-5 months of treatment.  I would encourage women with breast tenderness to hang in there.  It went away completely over time.  Once in a while I have a day or two of soreness, but very tolerable.	Started with 0.025 mg 2 X per week.  Then started having more hot flashes so am trying 0.0375 mg.  If cost is an issue, you CAN cut these patches.  So if you wanted 0.025 you could buy the 0.05 and cut it in half.
Changed my life- for the better	Skin picking (at hands) when peak dosage declines	To treat adult ADD.  Alleviated many elements of anger/depresion that had been present since childhood. Completely eradicated a 10 year cocaine habit (cocaine used to get through the day, get tasks accomplished).  Never used cocaine again.  Ended 20 years of heavy social drinking.
sleep well	a little groggy the next day---not much----just the first couple of times .	take once a night as needed for sleep.
My libido increased and energy. I have really bad anxiety, it actually helped it..my mood really hasn't changed much. I seen happier because of the weight loss. It's a good program if you want to loose a lot of weight..	I did have shortness of breath and a little paranoia..it subsisted after a week or so..really bad cravings for water (that's a good thing)and little bit of an appetite..always mad sure i ate 3 times a day..small meals and gym 4x week..	(1) pill in the morning with food or 8fl oz water..never took more than two..
Eliminated hormonal cysts; 3 years with no recurrence.	Dry lips.	Roaccutane was prescribed for late onset adult acne consisting of large cysts on the chin and jaw. Improvement was observed within 10 days. Liver function was monitored. Complete remission of all symptoms for over 3 years. A highly satisfactory outcome.
The decrease in aniety greatly increased the quality of life for the patient.	Some delayed sexual function, although not severe.  Some muscle jerks and twitches.	Two attempts were made to discontinue use, but both times the uncontrollable anxiety returned.  After the first attempt, the med was restarted and symptom relief was restored.  The patient has just increased the dosage back to 20 mg after having weened down to 5 mg and is hoping that symptoms will subside once again.  If efficacy returns the patient desires to remain on the med indefinitely.
The Vermox killed off the effects of the parasitic illness which included extreme fatigue, chronic diarrhea, dehydration, and weight loss.  The Celexa was effective in elevating my mood which had been diagnosed as depression.  It was the doctor???s belief that the long term effects of the parasite presence in my body led to my decline in physical and mental health.  I continued on the generic form of Celexa, Citalopram for a total of three years.  I no longer take medication for depression and my health is quite good.	The side effect of the Vermox was primarily a metallic taste in my mouth which lasted throughout the treatment of twenty one days.  The Celexa  gave me a symptoms of dry mouth as well as some decrease in sexual desire.	I took a Vermox tablet orally for three weeks and another dose for three days a month later.  I began taking a dosage of Celexa of 40mg which was eventually reduced to 20mg per day after about 1 ??? years.  I continued a dosage of 20mg for another 1 ??? years, but switched to the generic form, Citalopram.
clearer skin, did not affect weight	moodier then usual	I've been taking Ortho Tri-Cyclen Lo for about 8 years now. I'm (21) I began taking BC when I was 14 because I was having irregular periods and was diagnosed with possible PCOS ( Poly Cystic Ovarian Syndrome) Pros:The BC hasn't altered my appetite or weight...I have never suffered from severe acne but noticed that my skin appeared clearer while taking the pills... predictable periods...no cramps or bloating...Cons: the only negative side effect I noticed was that I was moodier then usual. Ortho Tri-Cyceln Lo has worked well for me...everyone is different so I can't say how it will work for everyone else. I hope this was helpful. My doctor recommended Yasmin but I'm scared to try it because of all of the negative reviews it has received!
After a week of taking 20 mg a day, I went from suicidal to genuine happiness. I was diagnosed with major depressive disorder and generalized anxiety disorder and my symptoms have already gotten 90% better. My level of stress is very, very low and my depression is pretty much gone. I can go back to doing things I love and I have more energy to go about my day. Only thing is that I also have insomnia and although it has calmed my nightly discomfort, it has not helped me sleep. But I'm waiting for it to help since my doctor said it would take time. I would recommend this drug to anyone!	I started taking it in the morning, but it made me a little drowsy, so I began taking it at night. Makes me more tired, but hasn't helped me overcome my insomnia just yet.	I first began seeing a psychologist who rushed my psychiatric visit. I was originally put on Prozac prescribed from an emergency room to hold me over until I saw my psychiatrist, but it threw my body out of whack and I was having very bothersome side effects. My doctor switched me to Citalopram, the generic for Celexa, and so far it has done wonders for me. I am only taking 20 mg a day and already I feel wonderful, and only after 9 doses. I may not even need to be put on a higher dosage, I feel so great.
I have quite ofren this problem, but the headacke goes away in a few minutes and the medicament works well for other pains too.	I have had stomac acidity if I did not have had a meal before, followed with a nausea, but with full stomac I did not have any side effects.	Only one tablet was enough every time I have had headake
I went to the doctor with a badly herniated disc in my lower back.  It was very inflamed and I had trouble standing completely up right.  The doctor prescribed me hydrocodone for the pain and the diclofenac for the inflammation.  The diclofenac worked really quickly at getting the inflammation down without really any side effects.	I really did not experience any side effects. I did notice however that when I took it on an empty stomach, I would get a little bit nausiated. I took it for two weeks straight and never experienced any bad side effects other than feeling a little sick to my stomach if I did not eat anything before I took it.	I was prescribed diclofenac for a badly herniated disc in my lower back.  When I went in to the doctors office I could barely walk.  He prescribed me diclofenac to be taken 50mg a dose two to three times a day for inflammation.  I took it for about 2 weeks.  I noticed a difference in the inflammation with the first dose.  It worked great for me.
Lowered blood sugar on a daily basis, lowered A1C ratings and led to a much better overall feeling of control for the diabetes.  Allowed for a more varied diet while keeping blood sugar controlled.  Insulin resistance seems to be in better control.  Lowered appetite which led to weight loss.	A little nausea when I first started taking the drub.	A patient is instructed to start out using the 5 mg pen for one month, then if doing well, progressing to the 10 mg pen.  Then the patient is monitored every 3-6 months to determine how well drug is controlling blood glucose which is done by taking the A1C test.
After taking effexor XR, a consideralbe change in attitude and general outlook was improved. Increased desire to do daily activities improved as well as anxiety about social situations descreased somewhat.	There were really no side effects other than when one dose was missed, I became very dizzy.	I was placed on Paxil at first which did work, however I had lots of acne as a result.  After being placed on Effexor, I noticed an immediate change, however because I have been on this dose for a long time, I feel that the effects are wearing off.  I have not yet discussed this with my doctor.
Reduces the swelling of joints and pain associated with Rheumatoid Arthritis.  RA seems to be in remission, but if I dont use a shot for 3 weeks, I start getting flare ups.  I also was able to discontinue methotrexate.  I havent had a real flare up for over a year.	Itchiness at injection site.	Auto injection into alternating thigh every 7 days.
Complete relief of headache - the only drug to take pain away. I used to get a severe headache at least once a month that lasted 48 hours over three days. Zomig has given me back my life and works even if the migraine has become established.	Slight drowsiness and fogginess. Sensitivity to heat in fingers.	Half a pill at onset of migraine, followed if necessary by another half
blodd pressure remained in the low area	drowsiness, loss of libido	once a day
Treatment was not for traditional drug use. It was for sexual experimentation--to see if male orgasm response times were decreased and sexual desire after orgasm remained. This did work.	Mild fatigue and general apathy.	Took .25mg of Cabergoline 2 times per week for 6 weeks. During this time, the test was to see if time between orgasms decreased and if sexual desire remained. Test was successful.
Even though I am a woman, my dermatologist recommended that I use the men's dose of Rogain. It definitely thickened my hair, after using the woman's dose for several years, which just kept me from losing hair.	Mild drying of the scalp	Applied men's formulation of rogaine to my scalp twice a day.
I get occasional migraine headaches. Zomig is very effective in minmizing or eliminating the symptoms, which include severe headache, nausea, photosensitivity. I also get frequent exercise induced headaches, which do not respond to other OTC analgesics such as tylenol or motrin. Zomig is also very effective in minimizing or eliminating the headache pain.	Very mild feeling of flushing, or something like being light headed,	As soon as I determine this is a migraine, (severe headache with nausea) I take a zomig, and in between 45 minutes and 60 minutes, I start to feel a little light headed, and nausea and headache pain withdraw. For exercise headaches, the same pattern applies. As soon as I determine this is an exercise induced headache, I take a zomig, and within 60 minutes the pain has subsided.
It cleared the throat infection (painful throat when swallowing or even touching the neck) and cough significantly after 5 days, and totally cleared symptoms after 2 weeks. My 78-year-old mother could not tolerate many antibiotics. This is 1 of the few that she could take fortunately.	There was dry mouth, which was easily solved by taking lime juice or sour drinks.	The treatment was easy as it involved swallowing tablets and drinking cough mixture.
Moderate lightening of hyperpigmentation, smoothing of fine lines and wrinkles	Significant peeling of skin around nose and chin, very flakey and noticable, along with all over redness on cheeks, nose and chin.	At night, applied pea size amount of cream after cleansing face. Significant peeling around the mouth and nose, so avoided these areas except 1x per week. Peeling would subside after skipping 1 to 2 days of treatment, so initially used 3x per week until skin became adapted to it. To minimize peeling, daily mild exfoliation of the skin really helped. While my hyperpigmentation is not completely gone, I am pleased with the tone of my skin and the minimized wrinkles.
great focus, mental clarity, helped me wake up, made me care about doing things and getting things finished, improved my mood. i started eating better for me (when i did eat), and it made me check my blood glucose levels more (so improved my health).	didn't eat as much, was a little emotionally cold sometimes.	after psychological testing, was put on Adderall XR (I have known I was ADHD and needed medication for a long time, actually). i have nothing but good things to say about it. makes me feel "normal" for once. i finally am in control of things. also, after going on Adderall XR, I have been able to go off my Cymbalta (neither my doctor or I have figured out why this is... but it is!)
I have already noticed my mood becoming more stable, and it has only been a month since I have started this medicine.  I feel like I have become less emotional and more rational.  I still have some anxiety, but that is why I take buspirone 2X a day with this drug.	I have had a constant headache with this drug.  After I first take it, I feel somewhat fatigued and dizzy.  I was on Depakote in the past and definitely had more side effects, such as alopecia.  My psychiatrist told me that these associated headaches should become less severe the longer I take this medication.	Right now I am just taking 25 mg Lamictal once a day. I recently just stop taking Adderall, and so far have experience less anxiety.  I also take busiprone twice a day with the lamictal.
greatly diminished arthritis pain, increased joint flexibility.	small nicks / scratches bled more easily	I started taking 10mg piroxicam about 12 or 13 years ago for arthitis pain in my hands with great results. Subsequently developed arthritis in both knees and have stayed on same dosage with good relief of symptoms. Dosage was increased to 20mg after a tibial plateau fracture of a severely arthritic knee and I stayed at that dosage for about two years.  Have recently lost 20+ pounds and returned to the 10mg dosage with only slight decrease in relief of discomfort.
It is very effective for falling and staying asleep.  Much more than over the counter medications.	a bit groggy in the morning.  It usually wore off by 9am or so but I wouldn't recommend to anyone with a job that requires intense focus.	Take one pill in needed before bed.
Almost immediate reduction in pain and inflammation that was not resolved by trimethoprim previously- this is a lower uti drug.  Slept much better with less discomfort although tenderness remained for a few days.	Slight nausea as to be expected but swollen tender nipples which is something I'm not prone to.	Take one tablet at regular intervals 3 times a day complete the course as reduced symptoms dont mean the bacteria are fully gone.
relieves most migraines if caught fairly early.  I've had some migraines that it was ineffective against.	fatigue, dry mouth	take a pill at the onset of a migraine.
"My daughter  was unable to focus and concentrate during classes.  

Her marks were terrible, she was failing many classes in spite of studying for hours on end (I can verify this as I studied with her) Her self esteem was very low due to this and the fact that she has a sister who consistently achieves high grades.  She became depressed and frustrated by this situation.



After seeing a neurologist and doing many test she was diagnosed with ADD.  We started her on Adderall and the results have been amazing.  Now, she does minimal studying and her marks are EXCELLENT!  She is able to focus and really pay attention in classes so the information is not only understood but retained.  Her self esteem has soared and she is once again a happy little girl."	We took her off the time released medication and switched is a regular so that it would not interfer with her sleep which it did in the beginning with the time released.	She takes 10 mg at 6:00 A.M. and another at 12:00 noon which lasts through homework.  This is only on school days and we go off althought during summer and school holidays with not adverse effects
It made a noted difference to my depression, but not much to my anxiety. If anyone is hyperactive this drug seemed to be sedating and gentle (if u can handle that).	"The only side effect i encounterd was sleepness, however i slept great every night but also felt like sleeping all day. i am a mother of 3 kids under 4 years old and soon found the loss of energy had to cope with.  **

I realy have nothing bad to say about this drug, however if you are at a loss for energy to begin with, this drug will make it worse."	30 mg tab  1 x daily for 3 months
"I was able to create a tasks list, complete the list in full and stay focused for a full days work, and not get sidetracked or feel the least bit tired.

Day after day, I continued to work better than I had been able to for years."	Lack of appetite was a problem at first.  Edgy when the medicatin is wearing down (10 hours after taking.)	Had to go to a psychiatrist to get it prescribed.  Check ups every 3 months to determine effectiveness.  So far everything is a go!  I cannot express how this has changed my life!
This medication relieve nervousness and tension and improve sleep disturbances.	This medication causes drowsiness and dizziness, memory loss and depression	i take this drug on an as-needed basis. i take this drug 30 to 60 minutes prior to bedtime. I take it for three weeks on a regular basis. the first week three times the second week two times and the third week three times. The drug was very effective. I fel immediatly in sleep.The most common side effects of benzodiazepine i had were drowsiness and impaired coordination. Other side effects include slowed mental processing, confusion, memory impairment and fatigue.
able to taper off on the Allevert and just use this. Helped with congestion, helped with sleeping.	Fear of nasal polyps and being "addicted" to medication. I stopped using it as soon as allergy season was over. I like the product, but am concerned about long-term effects.	Now allergies seem to be coming back, so starting again, using one spray instead of two per nostril. Still seems to work.
Diminished extreme highs& lows, decreased anxiety/panic attacks, diminished urges to self multilate [Felt absolutely compelled to punch my legs, arms, and head at times of anxiety attacks a way to numb pain of anxiety inside]. Mental clarity. Felt a sense of control over eating behaviors [Felt I had a choice to binge/purge or not]. This drug was a miracle as I admitted myself to the ER after feeling all loss of control over my extreme mood swings [very happy/joyfull to "no reason to live" the next minute], my bulimia, self-mutilation, & anxiety. I felt as if I was on a very thin thread of life, I was ready to quit seeking any sign of serenity, until I was given hope with Lamictal. I was able to hold on to life, with a promise that soon the medications will start working. Mental health issues run deep in my father's family. I've always been hesitant to solve my problems with meds, trying virtually every alternative medicine [even hypnotherapy]. I wish I would have looked into this earlier- knowing that my problems had deep genetic roots [chemical imbalace].	Made me a little sleepy, which actually helped my sleeping problems as well. Might have affected the ease to reach orgasm- however i think lexapro was the main culprit of that side effect having taken that med previously [lexapro has also helped my bulmia & depression].	"Started off at 25 mg, increaing to 50, 100, and now at 200mg, which I will stay at. 20 mg of lexapro, taken nightly as well, mainly for depression and anxiety. 



Recommended to see a therapist twice a week, initially. [With a temporarily heavy work schedule- unable to make consistant appointments. However, i keep making leaps and bounds in tearms of behavioral health progress! I intend on following recommendations in the near future as my work load levels out."
One of the side effects of Seroquel is sleepiness. Depression and fatique were a result of lack of deep sleep. Seroquel allowed the patient to obtain deep (REM) sleep allowing for a rejuvinated physical state that, in turn, lifted the mood and outlook of the patient.	Headache and drowsiness during the day were the number one and two side effects. The drowsiness was kept in check by adjusting the doseage downward.	"Started with 25 mg, moved up to 50 mg and then to 100 mg per day. Found it best to move back to 50 mg to avoid side effects.

Note: Seroquel is usually used as an antipsychotic medication and/or used for manic depression. It was used in this case to 1) help with a sleep disorder that 2) led to depression."
I saw a reduction of pore size because I think my skin was getting tighter, I dont know if because of the drying. However, you could see a smoother appeareance. I didnt have a significant improvement in the fine lines. I am attributing this because they are expression lines under my eyes.	drying and peeling.	I used it every other night as instructed. Sometimes during the weekends I didnt apply for 2 days in a row, to let my skin rest and to use other moisturizing. products. Your skin definitely gets used to renova over time. I was afraid at first because of all the negative reviews concerning irritation. Please apply only a thin layer of this product. Thanks.
Gabapentin was prescribed to me for bi polar disorder.  Using no other meds I have taken this in the past with no side effects. I have been taking gabapentin for about a month.Does well with my depression.Only took about a week to feel better.Strange but true.	I also take hydrocodone for chronic kidney stones and back pain. Upon mixing Gabapentin and Hydrocodone I turned into a raging , hateful person. I was hateful to my family and could not stand myself!I wanted to hurt myself and others. Taking these two meds together changed my whole personality.It is clear that I cannot take these two together.  I will stay on the Gabapentin but will only take Hydrocodone when I am in extreme pain! It seems to help others when taking Hydrocodone and Gabapentin together but I will NEVER do this again.Gabapentin makes me sleep well. I used to get up 2 or 3 times per night but with this med I sleep all night and it has helped my depression a great deal.The only side effect I have noticed from Gabapentin was a little dizziness when I first begin taking it. It has since went away.	Gabapentin 600 mg at bedtime. Hydrocodone 7.5 mg every 4 hours or as needed.Valium as needed for sleep.
It is moderately effective in reducing the pain, and very effective in reducing the inflammation, swelling and heat in the joints.  I had not realized just how effective it is, until I ran out recently, and was without it for a few days.  I guess I had forgotten how debilitating OA can be.  Without it, I walk with a cane- with it, I don't need a cane, and can even walk for a mile or so for exercize, without 'paying for it' the next day.	At first it made me pretty drowsy.  After about three weeks, my body adjusted to it, and the drowsiness went away.  I have to be sure to take Etodolac after eating a meal, or it causes rather pronounced nausea.  I've found that it has to be an actual meal, too.  Just a nibble of something isn't enough to prevent the upset stomach.	I am severely allergic to Aspirin and Naproxyn, so cannot take these for the pain and inflammation of osteoarthritis.  I developed OA in both knees after injuring the cartilage and the arthroscopic surgery to try to repair the damage.  My left knee still has a little cartilage, but the right knee has bone on bone.  I had been taking Vioxx, which worked very well, but then it was pulled off the market.  Mobic did not work very well, so we went on to Etodolac.  Once a year, I have to go in and get bloodwork done, to make sure I have not developed any liver damage.
Reduced swelling due to water retention; reduced high blood pressure.	Dry mouth and night sweats.	One dose daily was immediately effective in reducing swelling; blood pressure was reduced within 3 weeks.  Night sweats and dry mouth were the primary side effects.  Moderate weight loss (water weight) occurred within one week (total five pounds).
"I have had headaches since age 17.  The acid reflux isn't as bad as it used

to be."	"For my Blood Pressure its been as high as 199/105 and as low as 120/72.  I have

a fear of drs and hospitals and white coats.  No matter how I try to relax it

seems the pressure is always high.  I had the other BP meds, Norvasc, Altonel,

and used a diuretic to no avail."	"I am now dealing with high blood pressure and looking down the road at a hip

and knee replacement."
"Low back pain would almost be completely relieved about 40 mins. after taking Vicodin.

With severe pain, I took 1 1/2 tablets which helped."	Made be slightly sleepy but was able to function normally.	"Along with taking Vicodin as prscribed, I had physical therapy about twice a week.

Vicodin was particularily helpful at night. Before going to bed, I took one or one and a half tablets and was able to sleep quite well. Otherwise, I was very uncomfortable and was losing sleep."
Although this treatment was intended to alleviate symptoms associated with menopause, either the dosage was insignificant or the product was not appropriate for this particular patient.  No relief was experienced in any way.  If anything, symptoms continue to worsen.	No side effects were experienced in any way with the original dosage of 37.5 mg.  Dosage was increased to a level double the original prescription and at this level the anticipated side effects became apparent.  Both drowsiness and dizziness were experienced at the increased dosage.  There was still no significant improvement in the original symptoms.	This was a very short lived "trial" to assess the efficacy of this particular drug for the presenting complaint associated with onset of menopause.  One capsule was taken each night in an attempt to alleviate the disruption to sleeping patterns caused by recurring night sweats.  After a two week period and no relief, the dosage was doubled.  The ensuing side effects of drowsiness, fatigue and occasional dizziness were attributed to the medication. Still no relief of the original presenting symptoms. The value of continuing with this medication was nil, so was discontinued.
Better mood, more energy, weight loss.  Daily outlook was better, fewer outbursts of anger.  I was able to concentrate a little better and be more focused.  I didn't have any moments of the blues or procrastination.	Headaches, aggrivated tinnitus, increased menstrual pain, abdominal pain.  Other general aches and pains in the body which could not be explained.	1 pill 1 time per day.
lowered cholesterol to normal limits, i feel with this drug and changes in my earing habits ,ihave added years to mt life. it is said to protect the heart . i have had a heart attack, so according to my dr. this is good preventive medecine.	loose stools infrequently	between the lipitor and toprol and one aspirin a day, i have not experienced any heart problems in the last five years. i aslo strength train and cardio via treadmill 3x a week.
The benefits of this treatment was there was a decreased amount of bowel movements per day. Also severe cramping and urgency to empty the bowel was decreased by 50% and meals could be enjoyed, even when out in public places where a washroom might not be available.	Somtimes constipation would occur, and there would be a tight, bloating feeling in the lower abdomen.	Treatment was to take this medication one half an hour before eating a meal. Powder was to be mixed in water or other fluid except carbonated beverages. Medication was to be taken for one month to see if there was an improvement in the symptoms of constant diareah after meals.
